Developer,Repo Name,Programming Language,Total Stars,Number of Forks
Arriven,"
      db1000n
",Go,"
        410
","
        79
"
nkallen,"
      plasticity
",TypeScript,"
        442
","
        40
"
public-apis,"
      public-apis
",Python,"
        183,535
","
        21,178
"
codez0mb1e,"
      resistance
",,"
        228
","
        14
"
xerpi,"
      vita2hos
",C,"
        460
","
        15
"
EbookFoundation,"
      free-programming-books
",,"
        224,333
","
        47,576
"
samber,"
      lo
",Go,"
        1,086
","
        24
"
TheAlgorithms,"
      Python
",Python,"
        130,923
","
        34,536
"
sunface,"
      rust-by-practice
",Rust,"
        692
","
        31
"
avelino,"
      awesome-go
",Go,"
        76,375
","
        9,565
"
Avik-Jain,"
      100-Days-Of-ML-Code
",,"
        34,964
","
        8,817
"
italiaremote,"
      awesome-italia-remote
",Go,"
        637
","
        107
"
tauri-apps,"
      tauri
",Rust,"
        34,061
","
        835
"
lapce,"
      lapce
",Rust,"
        5,511
","
        125
"
microsoft,"
      Web-Dev-For-Beginners
",JavaScript,"
        42,188
","
        6,164
"
alexmon1989,"
      russia_ddos
",Python,"
        29
","
        13
"
wcandillon,"
      remotion-fireship
",TypeScript,"
        118
","
        9
"
jwasham,"
      coding-interview-university
",,"
        211,782
","
        57,419
"
iamadamdev,"
      bypass-paywalls-chrome
",JavaScript,"
        23,350
","
        1,682
"
topjohnwu,"
      Magisk
",C++,"
        24,203
","
        5,865
"
TheAlgorithms,"
      Javascript
",JavaScript,"
        18,157
","
        3,148
"
TencentARC,"
      GFPGAN
",Python,"
        17,592
","
        2,672
"
CaiJimmy,"
      hugo-theme-stack
",HTML,"
        1,592
","
        382
"
qinguoyi,"
      TinyWebServer
",C++,"
        5,573
","
        1,678
"
discordjs,"
      discord.js
",JavaScript,"
        17,707
","
        3,262
"
